"Beleg-Nr.","Beleg-Datum","Pos.","Artikel-Nr.","Artikel-Bezeichnung","Menge","ME","Einzelpreis","Pos.-Wert","MwSt.-satz","MwSt","EAN"
729133,"05.03.2020",10,14818,"Age Perfect Cremefarbe  5.03 zart goldenes Braun",3,"Stck.",5.69,17.07,19.00,2.92," 3600523227563"
729133,"05.03.2020",20,10578,"Age Perfect Cremefarbe  9.13 beige blond",3,"Stck.",5.69,17.07,19.00,2.92," 3600522864967"
729133,"05.03.2020",30,16346,"Casting Creme Gloss  834 kupfergoldblond",1,"Stck.",4.69,4.69,19.00,0.80," 3600520982700"
729133,"05.03.2020",40,11030,"Elnett Hitze Styl.Spray Glatt 170ml",0,"Stck.",6.26,0.00,19.00,0.00," 3600522280774"
729133,"05.03.2020",50,11076,"Elnett Spray Extra Stark 300ml",8,"Stck.",3.39,27.12,19.00,4.64," 4037900006159"
729133,"05.03.2020",60,4497,"Elvital Shampoo Arginin Resist 300ml",0,"Stck.",2.69,0.00,19.00,0.00," 3600523289783"
729133,"05.03.2020",70,13384,"HP CC 5.6 warm red",2,"Stck.",6.65,13.30,19.00,2.27," 8710267483035"
729133,"05.03.2020",80,10503,"Loreal Magic Retouch Braun-Mittelbraun 75ml",6,"Stck.",6.67,40.02,19.00,6.84," 3600523193202"
729133,"05.03.2020",90,4434,"Nivea Haar Spülung Haarmilch Glanz 200ml",6,"Stck.",2.56,15.36,19.00,2.63," 4005900538024"
729133,"05.03.2020",100,12101,"Nutrisse Creme Kur Avocado 300ml",1,"Stck.",4.29,4.29,19.00,0.73," 3600541969858"
729133,"05.03.2020",110,4147,"Studio Line FX Liquid Gel ultra stark 150ml",6,"Stck.",2.79,16.74,19.00,2.86," 3600522471721"
729133,"05.03.2020",120,4156,"Studio Line FX Styling Spray ultra stark 250ml",6,"Stck.",2.79,16.74,19.00,2.86," 3600522471684"
729133,"05.03.2020",130,4734,"Studio Line Hot Curl 200ml",0,"Stck.",2.79,0.00,19.00,0.00," 3600522471844"
729133,"05.03.2020",140,4747,"Studio Line Hot Glatt Balm 200ml",2,"Stck.",2.79,5.58,19.00,0.95," 3600522471707"
729133,"05.03.2020",150,4400,"Studio Line Remix Fiber Paste 150ml",0,"Stck.",2.79,0.00,19.00,0.00," 3600522471752"
729133,"05.03.2020",160,11582,"Syoss Color Refresher Rotnuancen 75ml",0,"Stck.",3.80,0.00,19.00,0.00," 4015001013320"
729133,"05.03.2020",170,4795,"Taft Spray Classic stark/strap. 250ml",5,"Stck.",1.94,9.70,19.00,1.66," 4015100202052"
729133,"05.03.2020",180,10990,"Wellaflex Spray Men mega 250ml",6,"Stck.",1.49,8.94,19.00,1.53," 8699568543085"
729133,"05.03.2020",190,20229,"BZ Chips Tortilla Paprika 125g",5,"Stck.",1.09,5.45,7.00,0.34," 4005009100566"
729133,"05.03.2020",200,20294,"BZ Tomatenmark Tube 200g",24,"Stck.",1.09,26.16,7.00,1.65," 4005009100474"
729133,"05.03.2020",210,20295,"BZ Trockenhefe 9g",20,"Stck.",0.49,9.80,7.00,0.62," 4005009104397"
729133,"05.03.2020",220,8156,"Bebe Body Deo Spray Soft&Fresh 150ml",0,"Stck.",1.43,0.00,19.00,0.00," 3574661261300"
729133,"05.03.2020",230,2818,"Clearasil.Sofort Pickel Fighter Creme 15ml",1,"Stck.",4.31,4.31,19.00,0.74," 4002448068112"
729133,"05.03.2020",240,2252,"Creme 21 Original 250ml",4,"Stck.",2.39,9.56,19.00,1.63," 4260046670056"
729133,"05.03.2020",250,2250,"Creme 21 Soft 250ml",4,"Stck.",2.39,9.56,19.00,1.63," 4260046670094"
729133,"05.03.2020",260,9000,"Dove Seife Shea Butter 100g",12,"Stck.",0.81,9.72,19.00,1.66," 8711600804357"
729133,"05.03.2020",270,8422,"Fa Flüssigseife OP H&F Duft der Limette 250ml",0,"Stck.",1.33,0.00,19.00,0.00," 4015000997553"
729133,"05.03.2020",280,16162,"Garnier Face BIO Feuchtpflege Argan 50ml",4,"Stck.",6.59,26.36,19.00,4.51," 3600542183727"
729133,"05.03.2020",290,16175,"Garnier Face BIO Rescue Balm Argan 50ml",1,"Stck.",7.49,7.49,19.00,1.28," 3600542183765"
729133,"05.03.2020",300,16128,"Garnier Face C&F Augen Make-up Entferner 125ml",1,"Stck.",2.39,2.39,19.00,0.41," 3600540038401"
729133,"05.03.2020",310,16177,"Garnier Face Skin P.BB Matt Effekt Light 40ml",1,"Stck.",7.59,7.59,19.00,1.30," 3600541195073"
729133,"05.03.2020",320,16412,"Kneipp Massageöl Glückliche Auszeit 100ml",2,"Stck.",4.51,9.02,19.00,1.54," 4008233119823"
729133,"05.03.2020",330,13236,"Kneipp Pflegeölbad Schönheitsgeheimnis 100ml",2,"Stck.",3.28,6.56,19.00,1.12," 4008233124032"
729133,"05.03.2020",340,8760,"Loreal Face Age P.Gold Tag F20 50ml",1,"Stck.",16.99,16.99,19.00,2.91," 3600523216468"
729133,"05.03.2020",350,8746,"Loreal Face Age P.Zell Ren.Nacht 50ml",1,"Stck.",17.99,17.99,19.00,3.08," 3600523525256"
729133,"05.03.2020",360,8768,"Loreal Face Age P.Zell Ren.Tag 50ml",1,"Stck.",17.99,17.99,19.00,3.08," 3600523525249"
729133,"05.03.2020",370,3242,"Loreal Face Augen Make up Entferner WP 125ml",1,"Stck.",4.29,4.29,19.00,0.73," 4037900013041"
729133,"05.03.2020",380,8565,"Loreal Face HydraGenius AloeWater  Sensible 70ml",2,"Stck.",6.79,13.58,19.00,2.32," 3600523464562"
729133,"05.03.2020",390,8292,"Loreal Men Deo Spray Shirt Control 150ml",11,"Stck.",1.69,18.59,19.00,3.18," 3600523715633"
729133,"05.03.2020",400,8066,"Loreal Men Dusche Pure Power 300ml",6,"Stck.",2.46,14.76,19.00,2.52," 3600523232741"
729133,"05.03.2020",410,8299,"Loreal Men PC Waschgel 100ml",2,"Stck.",4.49,8.98,19.00,1.54," 3600523708024"
729133,"05.03.2020",420,6894,"Mixa Körperbalsam Atopiance 250ml",4,"Stck.",2.99,11.96,19.00,2.05," 3600550952193"
729133,"05.03.2020",430,6897,"Mixa Lotion Hautstraffend 250ml",3,"Stck.",2.99,8.97,19.00,1.53," 3600550852288"
729133,"05.03.2020",440,2040,"Neutrogena NWF N.Berry Lippenpflege 4.9g",6,"Stck.",2.04,12.24,19.00,2.09," 3574661153612"
