"Artikel-Nr.","Bezeichnung","EAN-Nr.","Lagerbestand","ME","MwSt.-satz"
7,"Gillette EWR Blue II Plus 5er","7702018468034",271.00,"Stck.",19.00
10,"Wilkinson Krankenhaus Fertigrasierer 100er","4027800018215",7.00,"Stck.",19.00
18,"Wilkinson Klingen Classic 10er","4027800011506",258.00,"Stck.",19.00
20,"San Pellegrino (16x0.75l Kasten)","",37.00,"Stck.",19.00
24,"Wilkinson EWR Duplo 6+2","4027800818846",33.00,"Stck.",19.00
46,"Hattric After Shave 100ml","4012800821910",47.00,"Stck.",19.00
49,"Hattric Pre Shave 100ml","4012800121812",3.00,"Stck.",19.00
56,"Sebamed For Men After Shave Balsam 100ml","4103040182531",10.00,"Stck.",19.00
57,"","",1.00,"Stck.",19.00
58,"Weleda Rasierwasser 100ml","4001638098816",2.00,"Stck.",19.00
59,"Hattric After Shave 200ml","4012800321885",42.00,"Stck.",19.00
61,"Speick Men Pre Shave 100ml","4009800001954",9.00,"Stck.",19.00
66,"Nivea Men Rasiercreme P&C 100ml","4005900613516",15.00,"Stck.",19.00
67,"Nivea Men Rasierschaum P&C (Mild) 200ml","4005900612786",34.00,"Stck.",19.00
70,"Palmolive Rasiercreme classic 100ml","3015810608817",44.00,"Stck.",19.00
71,"Palmolive Rasierseife classic 50g","4011200136907",41.00,"Stck.",19.00
73,"Palmolive Rasierschaum classic 300ml","8714789849164",18.00,"Stck.",19.00
75,"Hattric Pre Shave 200ml","4012800521803",75.00,"Stck.",19.00
76,"Nivea Men Rasiergel P&C (MILD) 200ml","4005900612984",35.00,"Stck.",19.00
77,"Nivea Men Rasiergel sensitive 200ml","4005900612946",40.00,"Stck.",19.00
78,"Wilkinson Pflege Rasierseife Tiegel 125g","4027800920501",16.00,"Stck.",19.00
81,"Nivea Men After Shave Deep Control 100ml","4005900614124",15.00,"Stck.",19.00
82,"Nivea Men Rasierschaum Deep 200ml","4005900613141",20.00,"Stck.",19.00
85,"Nivea Men Rasiergel Deep Clean 200ml","4005900497307",9.00,"Stck.",19.00
88,"Nivea Men Rasierschaum sensitiv 200ml","4005900612823",56.00,"Stck.",19.00
91,"Nivea Men After Shave Balm sensitive 100ml","4005900612700",23.00,"Stck.",19.00
92,"Wilkinson Pflege After Shave Sport 100ml","4027800020201",18.00,"Stck.",19.00
93,"Wilkinson Pflege After Shave Ocean 100ml","4027800020409",13.00,"Stck.",19.00
